dataset,space,optimizer,reference_seed,reference_trial_number,reference_model,reference_val_auc,reference_test_auc,params_json,source_file,n_completed_trials_in_pool,reference_pool
adult,S3,random,9,97,xgb,0.9178363258965972,0.9145871417106273,"{""model"": ""xgb"", ""xgb_colsample_bytree"": 0.8038379563364073, ""xgb_learning_rate"": 0.1028552908557278, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 200, ""xgb_reg_lambda"": 1.1515056544958442, ""xgb_subsample"": 0.8100680735840755}",adult_batch4\trials\adult__S3__random__seed9__trials.csv,1000,random
adult,S3,tpe,3,81,xgb,0.9182095136104778,0.9142211178908841,"{""model"": ""xgb"", ""xgb_colsample_bytree"": 0.5526081434195371, ""xgb_learning_rate"": 0.11795596906437197, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 450, ""xgb_reg_lambda"": 1.4736850722720758, ""xgb_subsample"": 0.7394947399574595}",adult_batch2\trials\adult__S3__tpe__seed3__trials.csv,1000,tpe
adult,S4,random,2,29,xgb,0.9176587124926648,0.9147113329325647,"{""model"": ""xgb"", ""xgb_colsample_bytree"": 0.6327217357893345, ""xgb_learning_rate"": 0.07618436179350895, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 450, ""xgb_reg_lambda"": 0.009884100567802073, ""xgb_subsample"": 0.7864061438826784}",adult_batch1\trials\adult__S4__random__seed2__trials.csv,1000,random
adult,S4,tpe,8,43,xgb,0.9182327450957516,0.9148480097985697,"{""model"": ""xgb"", ""xgb_colsample_bytree"": 0.7400114790639043, ""xgb_learning_rate"": 0.10946007503711992, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 450, ""xgb_reg_lambda"": 0.41585554429671867, ""xgb_subsample"": 0.8909251691672836}",adult_batch4\trials\adult__S4__tpe__seed8__trials.csv,1000,tpe
credit,S3,random,8,77,rf,0.7991534391534392,0.7775661375661377,"{""model"": ""rf"", ""rf_max_depth"": 16, ""rf_max_features"": ""sqrt"", ""rf_min_samples_split"": 3, ""rf_n_estimators"": 100}",credit_10seed\trials\credit__S3__random__seed8__trials.csv,1000,random
credit,S3,tpe,5,87,rf,0.7964021164021164,0.7801058201058201,"{""model"": ""rf"", ""rf_max_depth"": 16, ""rf_max_features"": ""log2"", ""rf_min_samples_split"": 4, ""rf_n_estimators"": 200}",credit_10seed\trials\credit__S3__tpe__seed5__trials.csv,1000,tpe
credit,S4,random,8,36,mlp,0.7953439153439154,0.750899470899471,"{""mlp_alpha"": 1.3406948475638632e-06, ""mlp_hidden"": ""32"", ""mlp_lr"": 0.005804270697428715, ""model"": ""mlp""}",credit_10seed\trials\credit__S4__random__seed8__trials.csv,1000,random
credit,S4,tpe,2,35,rf,0.7974603174603174,0.7779894179894179,"{""model"": ""rf"", ""rf_max_depth"": 10, ""rf_max_features"": ""sqrt"", ""rf_min_samples_split"": 5, ""rf_n_estimators"": 400}",credit_10seed\trials\credit__S4__tpe__seed2__trials.csv,1000,tpe
magic,S3,random,0,85,xgb,0.9351054943278272,0.9377419094069142,"{""model"": ""xgb"", ""xgb_colsample_bytree"": 0.9371999585374211, ""xgb_learning_rate"": 0.08284670295508774, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 400, ""xgb_reg_lambda"": 0.0028164968434964007, ""xgb_subsample"": 0.6442849788258478}",magic_10seed\trials\magic__S3__random__seed0__trials.csv,1000,random
magic,S3,tpe,0,14,xgb,0.9355716633882138,0.9376783164021448,"{""model"": ""xgb"", ""xgb_colsample_bytree"": 0.8270780977390592, ""xgb_learning_rate"": 0.04045300384486215, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 450, ""xgb_reg_lambda"": 0.0019246324217607198, ""xgb_subsample"": 0.7021498016008483}",magic_10seed\trials\magic__S3__tpe__seed0__trials.csv,1000,tpe
