small_space,large_space,optimizer,budget_mode,checkpoint,n_pairs,mean_penalty,median_penalty,ci95_low,ci95_high,paradox_incidence,wilcoxon_p,holm_p
S1,S2,random,trials,10,40,-0.004113444153905929,-0.003393554931401477,-0.005460150017320069,-0.0027989461083181132,0.1,3.9488440961577e-08,1.18465322884731e-06
S1,S2,random,trials,25,40,-0.003268993339254106,-0.0034975227741427806,-0.004563323964805747,-0.0019237461236648362,0.075,4.0193819711703774e-05,0.0008440702139457792
S1,S2,random,trials,50,40,-0.0031727659318455644,-0.0033657547474510996,-0.005027940613987566,-0.001309530874998867,0.075,1.9500828784657642e-05,0.00044851906204712577
S1,S2,random,trials,75,40,-0.0037899425687818707,-0.003611937495817119,-0.005576328143405404,-0.0019523220953430193,0.075,1.3217835657997057e-05,0.0003436637271079235
S1,S2,random,trials,100,40,-0.003983351682486555,-0.0035494866751098475,-0.005458762202711711,-0.002653989244683532,0.075,7.137441571103409e-07,1.9271092241979204e-05
S1,S2,tpe,trials,10,40,-0.004113444153905929,-0.003393554931401477,-0.005460150017320069,-0.0027989461083181132,0.1,3.9488440961577e-08,1.18465322884731e-06
S1,S2,tpe,trials,25,40,-0.003971525727043646,-0.003666046068751594,-0.00562547817737889,-0.002212401880411361,0.075,5.723268259316683e-08,1.6025151126086712e-06
S1,S2,tpe,trials,50,40,-0.0028337360054528278,-0.0034905246043461235,-0.004126505673706101,-0.0013737131362119661,0.075,1.430089287168812e-05,0.000357522321792203
S1,S2,tpe,trials,75,40,-0.0025347088128206048,-0.003400574718879279,-0.003585869836990015,-0.0011803876061752022,0.1,2.2706761228619143e-05,0.0004995487470296212
S1,S2,tpe,trials,100,40,-0.002589820473592458,-0.0031390390284991576,-0.003710657101161035,-0.0012141668260217254,0.125,1.430089287168812e-05,0.000357522321792203
S2,S3,random,trials,10,40,-0.00010207584134584168,0.0005118775776135065,-0.0017123890716015887,0.0014265902183867134,0.55,0.7046876743079338,1.0
S2,S3,random,trials,25,40,-0.0003646997252655437,-0.0001928110936380012,-0.0015707891518041248,0.0006263992544387093,0.45,0.6272851643807371,1.0
S2,S3,random,trials,50,40,-0.0014363393047055807,-0.0001672760833835163,-0.002986795820533599,-0.00012527625056563376,0.4,0.21423847520737893,1.0
S2,S3,random,trials,75,40,-0.00044949966205546363,5.139267539816528e-05,-0.0021042682741288696,0.0011969990960890096,0.5,0.9946976143110078,1.0
S2,S3,random,trials,100,40,0.0004099330876317392,0.00011215784888418678,-0.001257929920462871,0.0021313915884260503,0.6,0.3826448613508546,1.0
S2,S3,tpe,trials,10,40,-0.00010207584134584168,0.0005118775776135065,-0.0017123890716015887,0.0014265902183867134,0.55,0.7046876743079338,1.0
S2,S3,tpe,trials,25,40,0.0006339166700076365,0.0002637088504861551,-0.0012843232572578927,0.0025753337726637194,0.575,0.4125340336249792,1.0
S2,S3,tpe,trials,50,40,-0.0001516704026937238,2.1389341067157286e-05,-0.0020214081131572858,0.0016096354542950956,0.5,0.8471556244439853,1.0
S2,S3,tpe,trials,75,40,8.780264016484684e-05,0.00021983688642607246,-0.0016424247013332248,0.0017176045551989705,0.6,0.40085760810199633,1.0
S2,S3,tpe,trials,100,40,-4.457708255361237e-05,-2.0570610308634496e-05,-0.00173875199367726,0.0015301127740265097,0.475,0.7954479165618977,1.0
S3,S4,random,trials,10,40,0.005418981616539406,0.001767460610351379,0.0018619857976656488,0.0095144574055019,0.8,0.00028057557574356906,0.005611511514871381
S3,S4,random,trials,25,40,0.0028301913938092588,0.0008568300257189021,0.0004066311998993315,0.005876733010121971,0.775,0.002060566714135348,0.03709020085443626
S3,S4,random,trials,50,40,0.0030296982662472494,0.0007516460070192132,6.931546377329429e-05,0.006759850664800939,0.7,0.023206125308206538,0.34809187962309807
S3,S4,random,trials,75,40,0.0001971943458805303,0.0004052968006898472,-0.001844176587958874,0.0020111934422970498,0.575,0.48452077669571736,1.0
S3,S4,random,trials,100,40,-0.0009792726821390373,-6.176571016486276e-05,-0.0033299839681063714,0.0012943600592281693,0.475,0.5626676823321759,1.0
S3,S4,tpe,trials,10,40,0.005418981616539406,0.001767460610351379,0.0018619857976656488,0.0095144574055019,0.8,0.00028057557574356906,0.005611511514871381
S3,S4,tpe,trials,25,40,0.0018324930753814972,0.0009772388954530364,0.00013001011411504053,0.0036150767254866188,0.725,0.006955192886380246,0.11823827906846418
S3,S4,tpe,trials,50,40,0.0013503524863055505,0.000968144774702473,-0.0007346338370129127,0.0032579472120907497,0.575,0.01302583178403438,0.2084133085445501
S3,S4,tpe,trials,75,40,0.0010110407386501486,0.000217464663996636,-0.0013067430283528396,0.0032153858054165428,0.6,0.1423485195809917,1.0
S3,S4,tpe,trials,100,40,0.00029782749257129535,0.00021441627660268026,-0.0018048404641214642,0.0021448829070887126,0.55,0.28865784978552256,1.0
